epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.37,0.11726,0.19644,0.78922,0.99782,0.99756,0.99484,0.9948,0.07114,0.08474,0.78511,0.0667322,1.66422e-05,1.66422e-05
2,406.68,0.11475,0.1931,0.78839,0.99779,0.99727,0.99476,0.99472,0.07116,0.08403,0.78491,0.0334139,3.16601e-05,3.16601e-05
3,603.409,0.11453,0.19022,0.7888,0.99769,0.99804,0.99482,0.99478,0.07001,0.08151,0.78482,9.39038e-05,4.5028e-05,4.5028e-05
4,799.021,inf,0.18518,0.78865,0.99817,0.99795,0.99489,0.99485,0.07032,0.08055,0.7846,4.2575e-05,4.2575e-05,4.2575e-05
5,993.771,inf,0.18582,0.78774,0.99782,0.9984,0.99489,0.99485,0.06887,0.07952,0.7846,4.01e-05,4.01e-05,4.01e-05
6,1191.33,0.11203,0.18378,0.78745,0.9981,0.99815,0.99491,0.99487,0.0682,0.07874,0.78447,3.7625e-05,3.7625e-05,3.7625e-05
7,1389.54,0.11159,0.18439,0.78757,0.99815,0.99835,0.99492,0.99489,0.06899,0.07899,0.78444,3.515e-05,3.515e-05,3.515e-05
8,1586.57,0.11155,0.18155,0.78811,0.99853,0.99809,0.99494,0.99491,0.06784,0.07797,0.78441,3.2675e-05,3.2675e-05,3.2675e-05
9,1785.79,0.11164,0.18217,0.78773,0.99834,0.99849,0.99493,0.9949,0.06835,0.07748,0.78422,3.02e-05,3.02e-05,3.02e-05
10,1983.5,0.11098,0.18058,0.78667,0.99855,0.99813,0.99491,0.99488,0.06864,0.07784,0.78427,2.7725e-05,2.7725e-05,2.7725e-05
11,2164.86,0.09996,0.1392,0.7746,0.99755,0.99728,0.99477,0.99474,0.07232,0.0827,0.78396,2.525e-05,2.525e-05,2.525e-05
12,2341.68,0.09751,0.13578,0.77369,0.99762,0.99719,0.99476,0.99474,0.07133,0.08204,0.78372,2.2775e-05,2.2775e-05,2.2775e-05
13,2517.81,0.097,0.13191,0.77326,0.99792,0.99764,0.99485,0.99482,0.07007,0.08013,0.7837,2.03e-05,2.03e-05,2.03e-05
14,2692.43,0.09643,0.1299,0.77301,0.99816,0.99771,0.99487,0.99484,0.07038,0.07973,0.78356,1.7825e-05,1.7825e-05,1.7825e-05
15,2865.97,0.09603,0.13064,0.77296,0.99802,0.99785,0.99486,0.99483,0.07036,0.07959,0.78353,1.535e-05,1.535e-05,1.535e-05
16,3039.69,0.09623,0.13162,0.77337,0.99803,0.99788,0.99487,0.99484,0.06906,0.07864,0.78348,1.2875e-05,1.2875e-05,1.2875e-05
17,3213.06,0.09566,0.12955,0.77361,0.99807,0.99788,0.99488,0.99485,0.06911,0.0787,0.78345,1.04e-05,1.04e-05,1.04e-05
18,3386.6,0.09418,0.12979,0.77371,0.99806,0.99782,0.99487,0.99484,0.06963,0.07865,0.7835,7.925e-06,7.925e-06,7.925e-06
19,3559.61,0.09552,0.12904,0.7742,0.99787,0.9982,0.99488,0.99486,0.06989,0.07875,0.78351,5.45e-06,5.45e-06,5.45e-06
20,3738.75,0.09587,0.12908,0.77333,0.99777,0.99799,0.99486,0.99483,0.06918,0.07853,0.78351,2.975e-06,2.975e-06,2.975e-06
